Gene,Non-unique Gene name,Annotation,GCA_000024945.1,GCA_002005185.1,GCA_002082765.1,GCA_013393365.1,GCA_016127175.1,GCA_018406505.1,GCA_028743475.1,GCA_031190775.1,GCA_032695835.1,GCA_036456085.1,GCA_042850485.1,GCA_900186885.1,GCA_900187285.1,GCA_900637515.1,GCA_902810435.1
rplW,rplW,50S ribosomal protein L23,OKNGDJCJ_01544,GFDNPGNJ_00138,BFBCFGIC_01522,AMGBDAFE_01499,KOCEJNFM_00306,POEAOIBB_01517,GCKDAGAE_01179,PDIMPFPI_01522,AGBEICAE_00718,HCNBPFHJ_01116,BBFLPEJG_01563,AEMNHECO_01543,ICLGGANE_01567,PAGOGBDJ_01592,LAOJDNKF_01609
dxr,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,OKNGDJCJ_00889,GFDNPGNJ_01505,BFBCFGIC_00842,AMGBDAFE_00976,KOCEJNFM_00960,POEAOIBB_00631,GCKDAGAE_00664,PDIMPFPI_00948,AGBEICAE_00095,HCNBPFHJ_00585,BBFLPEJG_00857,AEMNHECO_00889,ICLGGANE_00871,PAGOGBDJ_01066,LAOJDNKF_01075
rlmN,rlmN,putative dual-specificity RNA methyltransferase RlmN,OKNGDJCJ_00877,GFDNPGNJ_01493,BFBCFGIC_00830,AMGBDAFE_00988,KOCEJNFM_00972,POEAOIBB_00619,GCKDAGAE_00676,PDIMPFPI_00960,AGBEICAE_00107,HCNBPFHJ_00597,BBFLPEJG_00845,AEMNHECO_00877,ICLGGANE_00859,PAGOGBDJ_01078,LAOJDNKF_01087
glyS,glyS,Glycine--tRNA ligase beta subunit,OKNGDJCJ_01002,GFDNPGNJ_01616,BFBCFGIC_00949,AMGBDAFE_00870,KOCEJNFM_00847,POEAOIBB_00745,GCKDAGAE_00553,PDIMPFPI_00837,AGBEICAE_02093,HCNBPFHJ_00473,BBFLPEJG_00969,AEMNHECO_01002,ICLGGANE_00985,PAGOGBDJ_00955,LAOJDNKF_00963
wecA,wecA,UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase,OKNGDJCJ_00695,GFDNPGNJ_01320,BFBCFGIC_00651,AMGBDAFE_01159,KOCEJNFM_01154,POEAOIBB_01172,GCKDAGAE_00847,PDIMPFPI_01186,AGBEICAE_00325,HCNBPFHJ_00777,BBFLPEJG_00676,AEMNHECO_00695,ICLGGANE_00687,PAGOGBDJ_01247,LAOJDNKF_01268
group_2709,,hypothetical protein,OKNGDJCJ_00696,GFDNPGNJ_01321,BFBCFGIC_00652,AMGBDAFE_01158,KOCEJNFM_01153,POEAOIBB_01171,GCKDAGAE_00846,PDIMPFPI_01185,AGBEICAE_00324,HCNBPFHJ_00776,BBFLPEJG_00677,AEMNHECO_00696,ICLGGANE_00688,PAGOGBDJ_01246,LAOJDNKF_01267
hybD,hybD,Hydrogenase 2 maturation protease,OKNGDJCJ_01213,GFDNPGNJ_01834,BFBCFGIC_01194,AMGBDAFE_00652,KOCEJNFM_00636,POEAOIBB_00967,GCKDAGAE_00318,PDIMPFPI_00612,AGBEICAE_01847,HCNBPFHJ_00246,BBFLPEJG_01184,AEMNHECO_01213,ICLGGANE_01249,PAGOGBDJ_00685,LAOJDNKF_00748
group_2700,,hypothetical protein,OKNGDJCJ_01212,GFDNPGNJ_01833,BFBCFGIC_01193,AMGBDAFE_00653,KOCEJNFM_00637,POEAOIBB_00966,GCKDAGAE_00319,PDIMPFPI_00613,AGBEICAE_01848,HCNBPFHJ_00247,BBFLPEJG_01183,AEMNHECO_01212,ICLGGANE_01248,PAGOGBDJ_00686,LAOJDNKF_00749
group_2697,,hypothetical protein,OKNGDJCJ_00729,GFDNPGNJ_01354,BFBCFGIC_00687,AMGBDAFE_01125,KOCEJNFM_01120,POEAOIBB_01136,GCKDAGAE_00813,PDIMPFPI_01152,AGBEICAE_00290,HCNBPFHJ_00743,BBFLPEJG_00710,AEMNHECO_00729,ICLGGANE_00721,PAGOGBDJ_01213,LAOJDNKF_01234
rluB,rluB,Ribosomal large subunit pseudouridine synthase B,OKNGDJCJ_00853,GFDNPGNJ_01469,BFBCFGIC_00806,AMGBDAFE_01011,KOCEJNFM_00996,POEAOIBB_00595,GCKDAGAE_00700,PDIMPFPI_00986,AGBEICAE_00132,HCNBPFHJ_00621,BBFLPEJG_00821,AEMNHECO_00853,ICLGGANE_00835,PAGOGBDJ_01102,LAOJDNKF_01111
rbsA,rbsA,Ribose import ATP-binding protein RbsA,OKNGDJCJ_00111,GFDNPGNJ_00689,BFBCFGIC_00244,AMGBDAFE_00111,KOCEJNFM_01738,POEAOIBB_00101,GCKDAGAE_01767,PDIMPFPI_00071,AGBEICAE_01321,HCNBPFHJ_01697,BBFLPEJG_00118,AEMNHECO_00111,ICLGGANE_00122,PAGOGBDJ_00106,LAOJDNKF_00114
rbsB,rbsB,Ribose import binding protein RbsB,OKNGDJCJ_00109,GFDNPGNJ_00687,BFBCFGIC_00242,AMGBDAFE_00109,KOCEJNFM_01740,POEAOIBB_00099,GCKDAGAE_01765,PDIMPFPI_00069,AGBEICAE_01319,HCNBPFHJ_01695,BBFLPEJG_00116,AEMNHECO_00109,ICLGGANE_00120,PAGOGBDJ_00104,LAOJDNKF_00112
group_2696,,putative protein,OKNGDJCJ_00854,GFDNPGNJ_01470,BFBCFGIC_00807,AMGBDAFE_01010,KOCEJNFM_00995,POEAOIBB_00596,GCKDAGAE_00699,PDIMPFPI_00985,AGBEICAE_00131,HCNBPFHJ_00620,BBFLPEJG_00822,AEMNHECO_00854,ICLGGANE_00836,PAGOGBDJ_01101,LAOJDNKF_01110
hom~~~hom_1~~~hom_2,hom;hom_1;hom_2,Homoserine dehydrogenase,OKNGDJCJ_00925,GFDNPGNJ_01541,BFBCFGIC_00877,AMGBDAFE_00942,KOCEJNFM_00924,POEAOIBB_00666;POEAOIBB_00667,GCKDAGAE_00629,PDIMPFPI_00912,AGBEICAE_00055,HCNBPFHJ_00549,BBFLPEJG_00893,AEMNHECO_00925,ICLGGANE_00908,PAGOGBDJ_01031,LAOJDNKF_01039
thrB,thrB,Homoserine kinase,OKNGDJCJ_00926,GFDNPGNJ_01542,BFBCFGIC_00878,AMGBDAFE_00941,KOCEJNFM_00923,POEAOIBB_00668,GCKDAGAE_00628,PDIMPFPI_00911,AGBEICAE_00054,HCNBPFHJ_00548,BBFLPEJG_00894,AEMNHECO_00926,ICLGGANE_00909,PAGOGBDJ_01030,LAOJDNKF_01038
group_2685,,hypothetical protein,OKNGDJCJ_00354,GFDNPGNJ_00919,BFBCFGIC_00375,AMGBDAFE_00341,KOCEJNFM_01495,POEAOIBB_00329,GCKDAGAE_02009,PDIMPFPI_00302,AGBEICAE_01467,HCNBPFHJ_01930,BBFLPEJG_00354,AEMNHECO_00354,ICLGGANE_00363,PAGOGBDJ_00323,LAOJDNKF_00346
citD,citD,Citrate lyase acyl carrier protein,OKNGDJCJ_01444,GFDNPGNJ_00046,BFBCFGIC_01423,AMGBDAFE_01403,KOCEJNFM_00405,POEAOIBB_01420,GCKDAGAE_01085,PDIMPFPI_01425,AGBEICAE_00599,HCNBPFHJ_01021,BBFLPEJG_01475,AEMNHECO_01444,ICLGGANE_01469,PAGOGBDJ_01493,LAOJDNKF_01516
citF,citF,Citrate lyase alpha chain,OKNGDJCJ_01442,GFDNPGNJ_00044,BFBCFGIC_01421,AMGBDAFE_01401,KOCEJNFM_00407,POEAOIBB_01418,GCKDAGAE_01083,PDIMPFPI_01423,AGBEICAE_00597,HCNBPFHJ_01019,BBFLPEJG_01473,AEMNHECO_01442,ICLGGANE_01467,PAGOGBDJ_01491,LAOJDNKF_01514
group_2679,,Putative TrmH family tRNA/rRNA methyltransferase,OKNGDJCJ_01040,GFDNPGNJ_01652,BFBCFGIC_00995,AMGBDAFE_00835,KOCEJNFM_00809,POEAOIBB_00780,GCKDAGAE_00515,PDIMPFPI_00798,AGBEICAE_02052,HCNBPFHJ_00432,BBFLPEJG_01005,AEMNHECO_01040,ICLGGANE_01013,PAGOGBDJ_00871,LAOJDNKF_00928
group_2673,,S-methyl-5'-thioinosine phosphorylase,OKNGDJCJ_00975,GFDNPGNJ_01589,BFBCFGIC_00923,AMGBDAFE_00897,KOCEJNFM_00874,POEAOIBB_00717,GCKDAGAE_00579,PDIMPFPI_00864,AGBEICAE_00002,HCNBPFHJ_00500,BBFLPEJG_00942,AEMNHECO_00975,ICLGGANE_00956,PAGOGBDJ_00983,LAOJDNKF_00990
dapB,dapB,4-hydroxy-tetrahydrodipicolinate reductase,OKNGDJCJ_00954,GFDNPGNJ_01570,BFBCFGIC_00906,AMGBDAFE_00914,KOCEJNFM_00895,POEAOIBB_00696,GCKDAGAE_00600,PDIMPFPI_00883,AGBEICAE_00024,HCNBPFHJ_00520,BBFLPEJG_00922,AEMNHECO_00954,ICLGGANE_00937,PAGOGBDJ_01002,LAOJDNKF_01010
DmdB,DmdB,23-dimethylmalate dehydratase small subunit,OKNGDJCJ_00100,GFDNPGNJ_00669,BFBCFGIC_00152,AMGBDAFE_00095,KOCEJNFM_01749,POEAOIBB_00087,GCKDAGAE_01755,PDIMPFPI_00050,AGBEICAE_01219,HCNBPFHJ_01675,BBFLPEJG_00100,AEMNHECO_00100,ICLGGANE_00114,PAGOGBDJ_00085,LAOJDNKF_00094
ssp5~~~pac,;ssp5;pac,hypothetical protein;Agglutinin receptor;Major cell-surface adhesin PAc,OKNGDJCJ_01638,GFDNPGNJ_00229,BFBCFGIC_01636,AMGBDAFE_01620,KOCEJNFM_00212,POEAOIBB_01615,GCKDAGAE_01274,PDIMPFPI_01613,AGBEICAE_00817,HCNBPFHJ_01207,BBFLPEJG_01654,AEMNHECO_01637,ICLGGANE_01660,PAGOGBDJ_01698,LAOJDNKF_01700
tarI_2~~~tarI~~~tarI_1,tarI_2;tarI;tarI_1,Ribitol-5-phosphate cytidylyltransferase,OKNGDJCJ_00697,GFDNPGNJ_01322,BFBCFGIC_00653,AMGBDAFE_01157,KOCEJNFM_01152,POEAOIBB_01170,GCKDAGAE_00845,PDIMPFPI_01184,AGBEICAE_00323,HCNBPFHJ_00775,BBFLPEJG_00678,AEMNHECO_00697,ICLGGANE_00689,PAGOGBDJ_01245,LAOJDNKF_01266
pglJ,pglJ,N-acetylgalactosamine-NN'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase,OKNGDJCJ_00699,GFDNPGNJ_01324,BFBCFGIC_00655,AMGBDAFE_01155,KOCEJNFM_01150,POEAOIBB_01168,GCKDAGAE_00843,PDIMPFPI_01182,AGBEICAE_00321,HCNBPFHJ_00773,BBFLPEJG_00680,AEMNHECO_00699,ICLGGANE_00691,PAGOGBDJ_01243,LAOJDNKF_01264
ynfE~~~fdhF,ynfE;fdhF,Putative dimethyl sulfoxide reductase chain YnfE;Formate dehydrogenase H,OKNGDJCJ_01653,GFDNPGNJ_00243,BFBCFGIC_01649,AMGBDAFE_01635,KOCEJNFM_00197,POEAOIBB_01630,GCKDAGAE_01294,PDIMPFPI_01627,AGBEICAE_00831,HCNBPFHJ_01221,BBFLPEJG_01669,AEMNHECO_01652,ICLGGANE_01674,PAGOGBDJ_01714,LAOJDNKF_01715
glcA~~~glcA_2~~~glcA_1,glcA;glcA_2;glcA_1,Glycolate permease GlcA,OKNGDJCJ_01655,GFDNPGNJ_00245,BFBCFGIC_01651,AMGBDAFE_01637,KOCEJNFM_00195,POEAOIBB_01632,GCKDAGAE_01296,PDIMPFPI_01629,AGBEICAE_00833;AGBEICAE_00834,HCNBPFHJ_01223,BBFLPEJG_01671,AEMNHECO_01654,ICLGGANE_01676,PAGOGBDJ_01716,LAOJDNKF_01717
pgdS,pgdS,Gamma-DL-glutamyl hydrolase,OKNGDJCJ_01210,GFDNPGNJ_01831,BFBCFGIC_01191,AMGBDAFE_00655,KOCEJNFM_00639,POEAOIBB_00964,GCKDAGAE_00321,PDIMPFPI_00615,AGBEICAE_01850,HCNBPFHJ_00249,BBFLPEJG_01181,AEMNHECO_01210,ICLGGANE_01246,PAGOGBDJ_00688,LAOJDNKF_00751
cmk,cmk,Cytidylate kinase,OKNGDJCJ_00855,GFDNPGNJ_01471,BFBCFGIC_00808,AMGBDAFE_01009,KOCEJNFM_00994,POEAOIBB_00597,GCKDAGAE_00698,PDIMPFPI_00984,AGBEICAE_00130,HCNBPFHJ_00619,BBFLPEJG_00823,AEMNHECO_00855,ICLGGANE_00837,PAGOGBDJ_01100,LAOJDNKF_01109
plsC,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,OKNGDJCJ_00856,GFDNPGNJ_01472,BFBCFGIC_00809,AMGBDAFE_01008,KOCEJNFM_00993,POEAOIBB_00598,GCKDAGAE_00697,PDIMPFPI_00983,AGBEICAE_00129,HCNBPFHJ_00618,BBFLPEJG_00824,AEMNHECO_00856,ICLGGANE_00838,PAGOGBDJ_01099,LAOJDNKF_01108
group_2635,,hypothetical protein,OKNGDJCJ_00284,GFDNPGNJ_00855,BFBCFGIC_00318,AMGBDAFE_00268,KOCEJNFM_01565,POEAOIBB_00263,GCKDAGAE_01934,PDIMPFPI_00235,AGBEICAE_01405;AGBEICAE_01404,HCNBPFHJ_01867,BBFLPEJG_00295,AEMNHECO_00284,ICLGGANE_00289,PAGOGBDJ_00262,LAOJDNKF_00282
mscS,mscS,Small-conductance mechanosensitive channel,OKNGDJCJ_00285,GFDNPGNJ_00856,BFBCFGIC_00319,AMGBDAFE_00269,KOCEJNFM_01564,POEAOIBB_00264,GCKDAGAE_01935,PDIMPFPI_00236,AGBEICAE_01406,HCNBPFHJ_01868,BBFLPEJG_00296,AEMNHECO_00285,ICLGGANE_00290,PAGOGBDJ_00263,LAOJDNKF_00283
cysS_2~~~cysS~~~cysS_1,cysS_2;cysS;cysS_1,Cysteine--tRNA ligase,OKNGDJCJ_01042,GFDNPGNJ_01654,BFBCFGIC_00997,AMGBDAFE_00833,KOCEJNFM_00807,POEAOIBB_00782,GCKDAGAE_00513,PDIMPFPI_00796,AGBEICAE_02049;AGBEICAE_02050,HCNBPFHJ_00430,BBFLPEJG_01007,AEMNHECO_01042,ICLGGANE_01015,PAGOGBDJ_00869,LAOJDNKF_00926
mtnA,mtnA,Methylthioribose-1-phosphate isomerase,OKNGDJCJ_00974,GFDNPGNJ_01588,BFBCFGIC_00922,AMGBDAFE_00898,KOCEJNFM_00875,POEAOIBB_00716,GCKDAGAE_00580,PDIMPFPI_00865,AGBEICAE_00003,HCNBPFHJ_00501,BBFLPEJG_00941,AEMNHECO_00974,ICLGGANE_00955,PAGOGBDJ_00984,LAOJDNKF_00991
asd,asd,Aspartate-semialdehyde dehydrogenase,OKNGDJCJ_00955,GFDNPGNJ_01571,BFBCFGIC_00907,AMGBDAFE_00913,KOCEJNFM_00894,POEAOIBB_00697,GCKDAGAE_00599,PDIMPFPI_00882,AGBEICAE_00023,HCNBPFHJ_00519,BBFLPEJG_00923,AEMNHECO_00955,ICLGGANE_00938,PAGOGBDJ_01001,LAOJDNKF_01009
dapA,dapA,4-hydroxy-tetrahydrodipicolinate synthase,OKNGDJCJ_00956,GFDNPGNJ_01572,BFBCFGIC_00908,AMGBDAFE_00912,KOCEJNFM_00893,POEAOIBB_00698,GCKDAGAE_00598,PDIMPFPI_00881,AGBEICAE_00022,HCNBPFHJ_00518,BBFLPEJG_00924,AEMNHECO_00956,ICLGGANE_00939,PAGOGBDJ_01000,LAOJDNKF_01008
prs,prs,Ribose-phosphate pyrophosphokinase,OKNGDJCJ_00630,GFDNPGNJ_01254,BFBCFGIC_00589,AMGBDAFE_01225,KOCEJNFM_01219,POEAOIBB_01237,GCKDAGAE_00913,PDIMPFPI_01251,AGBEICAE_00394,HCNBPFHJ_00842,BBFLPEJG_00611,AEMNHECO_00630,ICLGGANE_00622,PAGOGBDJ_01313,LAOJDNKF_01333
group_2590,,hypothetical protein,OKNGDJCJ_01716,GFDNPGNJ_00355,BFBCFGIC_01720,AMGBDAFE_01725,KOCEJNFM_00134,POEAOIBB_01721,GCKDAGAE_01390,PDIMPFPI_01689,AGBEICAE_00914,HCNBPFHJ_01284,BBFLPEJG_01760,AEMNHECO_01715,ICLGGANE_01731,PAGOGBDJ_01802,LAOJDNKF_01777
group_2575,,hypothetical protein,OKNGDJCJ_01272,GFDNPGNJ_01894,BFBCFGIC_01256,AMGBDAFE_00589,KOCEJNFM_00577,POEAOIBB_01026,GCKDAGAE_00259,PDIMPFPI_00552,AGBEICAE_01774,HCNBPFHJ_00132,BBFLPEJG_01250,AEMNHECO_01272,ICLGGANE_01308,PAGOGBDJ_00625,LAOJDNKF_00682
group_2574,,hypothetical protein,OKNGDJCJ_01274,GFDNPGNJ_01896,BFBCFGIC_01258,AMGBDAFE_00587,KOCEJNFM_00575,POEAOIBB_01028,GCKDAGAE_00257,PDIMPFPI_00550,AGBEICAE_01772,HCNBPFHJ_00130,BBFLPEJG_01252,AEMNHECO_01274,ICLGGANE_01310,PAGOGBDJ_00623,LAOJDNKF_00680
scpA_1~~~scpA_2,scpA_1;scpA_2,Methylmalonyl-CoA mutase,OKNGDJCJ_01276,GFDNPGNJ_01898,BFBCFGIC_01260,AMGBDAFE_00585,KOCEJNFM_00573,POEAOIBB_01030,GCKDAGAE_00255,PDIMPFPI_00548,AGBEICAE_01770,HCNBPFHJ_00128,BBFLPEJG_01254,AEMNHECO_01276,ICLGGANE_01312,PAGOGBDJ_00621,LAOJDNKF_00678
sdhB_2,sdhB_2,8-methylmenaquinol:fumarate reductase iron-sulfur subunit,OKNGDJCJ_01765,GFDNPGNJ_00414,BFBCFGIC_01762,AMGBDAFE_01797,KOCEJNFM_00085,POEAOIBB_01785,GCKDAGAE_01489,PDIMPFPI_01802,AGBEICAE_00966,HCNBPFHJ_01433,BBFLPEJG_01817,AEMNHECO_01764,ICLGGANE_01776,PAGOGBDJ_01847,LAOJDNKF_01834
yvqK,yvqK,Cob(I)yrinic acid ac-diamide adenosyltransferase,OKNGDJCJ_00929,GFDNPGNJ_01545,BFBCFGIC_00881,AMGBDAFE_00938,KOCEJNFM_00920,POEAOIBB_00671,GCKDAGAE_00625,PDIMPFPI_00908,AGBEICAE_00051,HCNBPFHJ_00545,BBFLPEJG_00897,AEMNHECO_00929,ICLGGANE_00912,PAGOGBDJ_01027,LAOJDNKF_01035
group_2553,,hypothetical protein;putative protein,OKNGDJCJ_01354,GFDNPGNJ_01973,BFBCFGIC_01343,AMGBDAFE_00504,KOCEJNFM_00495,POEAOIBB_00503,GCKDAGAE_00171,PDIMPFPI_00474,AGBEICAE_01685,HCNBPFHJ_00051,BBFLPEJG_01332,AEMNHECO_01354,ICLGGANE_01385,PAGOGBDJ_00492,LAOJDNKF_00580
ahcY,ahcY,Adenosylhomocysteinase,OKNGDJCJ_00973,GFDNPGNJ_01587,BFBCFGIC_00921,AMGBDAFE_00899,KOCEJNFM_00876,POEAOIBB_00715,GCKDAGAE_00581,PDIMPFPI_00866,AGBEICAE_00004,HCNBPFHJ_00502,BBFLPEJG_00940,AEMNHECO_00973,ICLGGANE_00954,PAGOGBDJ_00985,LAOJDNKF_00992
mtaD,mtaD,5-methylthioadenosine/S-adenosylhomocysteine deaminase,OKNGDJCJ_00972,GFDNPGNJ_01586,BFBCFGIC_00920,AMGBDAFE_00900,KOCEJNFM_00877,POEAOIBB_00714,GCKDAGAE_00582,PDIMPFPI_00867,AGBEICAE_00005,HCNBPFHJ_00503,BBFLPEJG_00939,AEMNHECO_00972,ICLGGANE_00953,PAGOGBDJ_00986,LAOJDNKF_00993
lexA,lexA,LexA repressor,OKNGDJCJ_00960,GFDNPGNJ_01576,BFBCFGIC_00909,AMGBDAFE_00911,KOCEJNFM_00889,POEAOIBB_00699,GCKDAGAE_00594,PDIMPFPI_00877,AGBEICAE_00018,HCNBPFHJ_00514,BBFLPEJG_00928,AEMNHECO_00960,ICLGGANE_00943,PAGOGBDJ_00996,LAOJDNKF_01004
group_2542,tuf_1,Elongation factor Tu,OKNGDJCJ_01548,GFDNPGNJ_00142,BFBCFGIC_01526,AMGBDAFE_01503,KOCEJNFM_00302,POEAOIBB_01521,GCKDAGAE_01183,PDIMPFPI_01526,AGBEICAE_00722,HCNBPFHJ_01120,BBFLPEJG_01567,AEMNHECO_01547,ICLGGANE_01571,PAGOGBDJ_01596,LAOJDNKF_01613
pflB_1,pflB_1,Formate acetyltransferase,OKNGDJCJ_00259,GFDNPGNJ_00830,BFBCFGIC_00225,AMGBDAFE_00244,KOCEJNFM_01590,POEAOIBB_00241,GCKDAGAE_01909,PDIMPFPI_00210,AGBEICAE_01299,HCNBPFHJ_01842,BBFLPEJG_00270,AEMNHECO_00259,ICLGGANE_00268,PAGOGBDJ_00238,LAOJDNKF_00257
scpA_3~~~scpA_2~~~scpA_1,scpA_3;scpA_2;scpA_1,Methylmalonyl-CoA mutase,OKNGDJCJ_01825,GFDNPGNJ_00476,BFBCFGIC_01815,AMGBDAFE_01860,KOCEJNFM_00025,POEAOIBB_01841,GCKDAGAE_01545,PDIMPFPI_01859,AGBEICAE_01027;AGBEICAE_01028,HCNBPFHJ_01486,BBFLPEJG_01873,AEMNHECO_01824,ICLGGANE_01836,PAGOGBDJ_01904,LAOJDNKF_01891
argK,argK,GTPase ArgK,OKNGDJCJ_01823,GFDNPGNJ_00474,BFBCFGIC_01813,AMGBDAFE_01858,KOCEJNFM_00027,POEAOIBB_01839,GCKDAGAE_01543,PDIMPFPI_01857,AGBEICAE_01025,HCNBPFHJ_01484,BBFLPEJG_01871,AEMNHECO_01822,ICLGGANE_01834,PAGOGBDJ_01902,LAOJDNKF_01889
group_2533,,hypothetical protein,OKNGDJCJ_01070,GFDNPGNJ_01682,BFBCFGIC_01025,AMGBDAFE_00805,KOCEJNFM_00779,POEAOIBB_00811,GCKDAGAE_00486,PDIMPFPI_00768,AGBEICAE_02021,HCNBPFHJ_00401,BBFLPEJG_01035,AEMNHECO_01070,ICLGGANE_01043,PAGOGBDJ_00841,LAOJDNKF_00898
gtaB,gtaB,UTP--glucose-1-phosphate uridylyltransferase,OKNGDJCJ_00670,GFDNPGNJ_01295,BFBCFGIC_00629,AMGBDAFE_01185,KOCEJNFM_01179,POEAOIBB_01197,GCKDAGAE_00872,PDIMPFPI_01211,AGBEICAE_00348,HCNBPFHJ_00802,BBFLPEJG_00651,AEMNHECO_00670,ICLGGANE_00662,PAGOGBDJ_01273,LAOJDNKF_01293
rd,rd,Rubredoxin,OKNGDJCJ_00713,GFDNPGNJ_01338,BFBCFGIC_00670,AMGBDAFE_01141,KOCEJNFM_01136,POEAOIBB_01152,GCKDAGAE_00829,PDIMPFPI_01168,AGBEICAE_00307,HCNBPFHJ_00759,BBFLPEJG_00694,AEMNHECO_00713,ICLGGANE_00705,PAGOGBDJ_01229,LAOJDNKF_01250
glyQ,glyQ,Glycine--tRNA ligase alpha subunit,OKNGDJCJ_01003,GFDNPGNJ_01617,BFBCFGIC_00950,AMGBDAFE_00869,KOCEJNFM_00846,POEAOIBB_00746,GCKDAGAE_00552,PDIMPFPI_00836,AGBEICAE_02092,HCNBPFHJ_00472,BBFLPEJG_00970,AEMNHECO_01003,ICLGGANE_00986,PAGOGBDJ_00954,LAOJDNKF_00962
