Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
tarI_2~~~tarI~~~tarI_1,tarI_2;tarI;tarI_1,Ribitol-5-phosphate cytidylyltransferase,15,15,1.0,1,4278,,,,720,726,722.8,OKNGDJCJ_00697,GFDNPGNJ_01322,BFBCFGIC_00653,AMGBDAFE_01157,KOCEJNFM_01152,POEAOIBB_01170,GCKDAGAE_00845,PDIMPFPI_01184,AGBEICAE_00323,HCNBPFHJ_00775,BBFLPEJG_00678,AEMNHECO_00697,ICLGGANE_00689,PAGOGBDJ_01245,LAOJDNKF_01266
pglJ,pglJ,N-acetylgalactosamine-NN'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase,15,15,1.0,1,4276,,,,1068,1068,1068.0,OKNGDJCJ_00699,GFDNPGNJ_01324,BFBCFGIC_00655,AMGBDAFE_01155,KOCEJNFM_01150,POEAOIBB_01168,GCKDAGAE_00843,PDIMPFPI_01182,AGBEICAE_00321,HCNBPFHJ_00773,BBFLPEJG_00680,AEMNHECO_00699,ICLGGANE_00691,PAGOGBDJ_01243,LAOJDNKF_01264
ynfE~~~fdhF,ynfE;fdhF,Putative dimethyl sulfoxide reductase chain YnfE;Formate dehydrogenase H,15,15,1.0,1,4266,,,,2001,2037,2008.8,OKNGDJCJ_01653,GFDNPGNJ_00243,BFBCFGIC_01649,AMGBDAFE_01635,KOCEJNFM_00197,POEAOIBB_01630,GCKDAGAE_01294,PDIMPFPI_01627,AGBEICAE_00831,HCNBPFHJ_01221,BBFLPEJG_01669,AEMNHECO_01652,ICLGGANE_01674,PAGOGBDJ_01714,LAOJDNKF_01715
glcA~~~glcA_2~~~glcA_1,glcA;glcA_2;glcA_1,Glycolate permease GlcA,15,16,1.0666666666666667,1,4265,,,,525,1638,1537.125,OKNGDJCJ_01655,GFDNPGNJ_00245,BFBCFGIC_01651,AMGBDAFE_01637,KOCEJNFM_00195,POEAOIBB_01632,GCKDAGAE_01296,PDIMPFPI_01629,AGBEICAE_00833;AGBEICAE_00834,HCNBPFHJ_01223,BBFLPEJG_01671,AEMNHECO_01654,ICLGGANE_01676,PAGOGBDJ_01716,LAOJDNKF_01717
pgdS,pgdS,Gamma-DL-glutamyl hydrolase,15,15,1.0,1,4262,,,,795,822,810.6,OKNGDJCJ_01210,GFDNPGNJ_01831,BFBCFGIC_01191,AMGBDAFE_00655,KOCEJNFM_00639,POEAOIBB_00964,GCKDAGAE_00321,PDIMPFPI_00615,AGBEICAE_01850,HCNBPFHJ_00249,BBFLPEJG_01181,AEMNHECO_01210,ICLGGANE_01246,PAGOGBDJ_00688,LAOJDNKF_00751
cmk,cmk,Cytidylate kinase,15,15,1.0,1,4258,,,,675,684,681.0,OKNGDJCJ_00855,GFDNPGNJ_01471,BFBCFGIC_00808,AMGBDAFE_01009,KOCEJNFM_00994,POEAOIBB_00597,GCKDAGAE_00698,PDIMPFPI_00984,AGBEICAE_00130,HCNBPFHJ_00619,BBFLPEJG_00823,AEMNHECO_00855,ICLGGANE_00837,PAGOGBDJ_01100,LAOJDNKF_01109
plsC,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,15,15,1.0,1,4257,,,,621,621,621.0,OKNGDJCJ_00856,GFDNPGNJ_01472,BFBCFGIC_00809,AMGBDAFE_01008,KOCEJNFM_00993,POEAOIBB_00598,GCKDAGAE_00697,PDIMPFPI_00983,AGBEICAE_00129,HCNBPFHJ_00618,BBFLPEJG_00824,AEMNHECO_00856,ICLGGANE_00838,PAGOGBDJ_01099,LAOJDNKF_01108
group_2635,,hypothetical protein,15,16,1.0666666666666667,1,4251,,,,213,792,727.125,OKNGDJCJ_00284,GFDNPGNJ_00855,BFBCFGIC_00318,AMGBDAFE_00268,KOCEJNFM_01565,POEAOIBB_00263,GCKDAGAE_01934,PDIMPFPI_00235,AGBEICAE_01405;AGBEICAE_01404,HCNBPFHJ_01867,BBFLPEJG_00295,AEMNHECO_00284,ICLGGANE_00289,PAGOGBDJ_00262,LAOJDNKF_00282
mscS,mscS,Small-conductance mechanosensitive channel,15,15,1.0,1,4250,,,,909,960,932.2,OKNGDJCJ_00285,GFDNPGNJ_00856,BFBCFGIC_00319,AMGBDAFE_00269,KOCEJNFM_01564,POEAOIBB_00264,GCKDAGAE_01935,PDIMPFPI_00236,AGBEICAE_01406,HCNBPFHJ_01868,BBFLPEJG_00296,AEMNHECO_00285,ICLGGANE_00290,PAGOGBDJ_00263,LAOJDNKF_00283
cysS_2~~~cysS~~~cysS_1,cysS_2;cysS;cysS_1,Cysteine--tRNA ligase,15,16,1.0666666666666667,1,4234,,,,399,1449,1359.75,OKNGDJCJ_01042,GFDNPGNJ_01654,BFBCFGIC_00997,AMGBDAFE_00833,KOCEJNFM_00807,POEAOIBB_00782,GCKDAGAE_00513,PDIMPFPI_00796,AGBEICAE_02049;AGBEICAE_02050,HCNBPFHJ_00430,BBFLPEJG_01007,AEMNHECO_01042,ICLGGANE_01015,PAGOGBDJ_00869,LAOJDNKF_00926
mtnA,mtnA,Methylthioribose-1-phosphate isomerase,15,15,1.0,1,4233,,,,1059,1065,1064.2,OKNGDJCJ_00974,GFDNPGNJ_01588,BFBCFGIC_00922,AMGBDAFE_00898,KOCEJNFM_00875,POEAOIBB_00716,GCKDAGAE_00580,PDIMPFPI_00865,AGBEICAE_00003,HCNBPFHJ_00501,BBFLPEJG_00941,AEMNHECO_00974,ICLGGANE_00955,PAGOGBDJ_00984,LAOJDNKF_00991
asd,asd,Aspartate-semialdehyde dehydrogenase,15,15,1.0,1,4227,,,,1032,1032,1032.0,OKNGDJCJ_00955,GFDNPGNJ_01571,BFBCFGIC_00907,AMGBDAFE_00913,KOCEJNFM_00894,POEAOIBB_00697,GCKDAGAE_00599,PDIMPFPI_00882,AGBEICAE_00023,HCNBPFHJ_00519,BBFLPEJG_00923,AEMNHECO_00955,ICLGGANE_00938,PAGOGBDJ_01001,LAOJDNKF_01009
dapA,dapA,4-hydroxy-tetrahydrodipicolinate synthase,15,15,1.0,1,4223,,,,888,891,888.2,OKNGDJCJ_00956,GFDNPGNJ_01572,BFBCFGIC_00908,AMGBDAFE_00912,KOCEJNFM_00893,POEAOIBB_00698,GCKDAGAE_00598,PDIMPFPI_00881,AGBEICAE_00022,HCNBPFHJ_00518,BBFLPEJG_00924,AEMNHECO_00956,ICLGGANE_00939,PAGOGBDJ_01000,LAOJDNKF_01008
prs,prs,Ribose-phosphate pyrophosphokinase,15,15,1.0,1,4193,,,,954,954,954.0,OKNGDJCJ_00630,GFDNPGNJ_01254,BFBCFGIC_00589,AMGBDAFE_01225,KOCEJNFM_01219,POEAOIBB_01237,GCKDAGAE_00913,PDIMPFPI_01251,AGBEICAE_00394,HCNBPFHJ_00842,BBFLPEJG_00611,AEMNHECO_00630,ICLGGANE_00622,PAGOGBDJ_01313,LAOJDNKF_01333
group_2590,,hypothetical protein,15,15,1.0,1,4190,,,,2079,2085,2080.8,OKNGDJCJ_01716,GFDNPGNJ_00355,BFBCFGIC_01720,AMGBDAFE_01725,KOCEJNFM_00134,POEAOIBB_01721,GCKDAGAE_01390,PDIMPFPI_01689,AGBEICAE_00914,HCNBPFHJ_01284,BBFLPEJG_01760,AEMNHECO_01715,ICLGGANE_01731,PAGOGBDJ_01802,LAOJDNKF_01777
group_2575,,hypothetical protein,15,15,1.0,1,4168,,,,339,348,346.0,OKNGDJCJ_01272,GFDNPGNJ_01894,BFBCFGIC_01256,AMGBDAFE_00589,KOCEJNFM_00577,POEAOIBB_01026,GCKDAGAE_00259,PDIMPFPI_00552,AGBEICAE_01774,HCNBPFHJ_00132,BBFLPEJG_01250,AEMNHECO_01272,ICLGGANE_01308,PAGOGBDJ_00625,LAOJDNKF_00682
group_2574,,hypothetical protein,15,15,1.0,1,4167,,,,423,423,423.0,OKNGDJCJ_01274,GFDNPGNJ_01896,BFBCFGIC_01258,AMGBDAFE_00587,KOCEJNFM_00575,POEAOIBB_01028,GCKDAGAE_00257,PDIMPFPI_00550,AGBEICAE_01772,HCNBPFHJ_00130,BBFLPEJG_01252,AEMNHECO_01274,ICLGGANE_01310,PAGOGBDJ_00623,LAOJDNKF_00680
scpA_1~~~scpA_2,scpA_1;scpA_2,Methylmalonyl-CoA mutase,15,15,1.0,1,4152,,,,396,396,396.0,OKNGDJCJ_01276,GFDNPGNJ_01898,BFBCFGIC_01260,AMGBDAFE_00585,KOCEJNFM_00573,POEAOIBB_01030,GCKDAGAE_00255,PDIMPFPI_00548,AGBEICAE_01770,HCNBPFHJ_00128,BBFLPEJG_01254,AEMNHECO_01276,ICLGGANE_01312,PAGOGBDJ_00621,LAOJDNKF_00678
sdhB_2,sdhB_2,8-methylmenaquinol:fumarate reductase iron-sulfur subunit,15,15,1.0,1,4148,,,,963,963,963.0,OKNGDJCJ_01765,GFDNPGNJ_00414,BFBCFGIC_01762,AMGBDAFE_01797,KOCEJNFM_00085,POEAOIBB_01785,GCKDAGAE_01489,PDIMPFPI_01802,AGBEICAE_00966,HCNBPFHJ_01433,BBFLPEJG_01817,AEMNHECO_01764,ICLGGANE_01776,PAGOGBDJ_01847,LAOJDNKF_01834
yvqK,yvqK,Cob(I)yrinic acid ac-diamide adenosyltransferase,15,15,1.0,1,4144,,,,516,516,516.0,OKNGDJCJ_00929,GFDNPGNJ_01545,BFBCFGIC_00881,AMGBDAFE_00938,KOCEJNFM_00920,POEAOIBB_00671,GCKDAGAE_00625,PDIMPFPI_00908,AGBEICAE_00051,HCNBPFHJ_00545,BBFLPEJG_00897,AEMNHECO_00929,ICLGGANE_00912,PAGOGBDJ_01027,LAOJDNKF_01035
group_2553,,hypothetical protein;putative protein,15,15,1.0,1,4138,,,,720,723,721.0,OKNGDJCJ_01354,GFDNPGNJ_01973,BFBCFGIC_01343,AMGBDAFE_00504,KOCEJNFM_00495,POEAOIBB_00503,GCKDAGAE_00171,PDIMPFPI_00474,AGBEICAE_01685,HCNBPFHJ_00051,BBFLPEJG_01332,AEMNHECO_01354,ICLGGANE_01385,PAGOGBDJ_00492,LAOJDNKF_00580
ahcY,ahcY,Adenosylhomocysteinase,15,15,1.0,1,4129,,,,1245,1245,1245.0,OKNGDJCJ_00973,GFDNPGNJ_01587,BFBCFGIC_00921,AMGBDAFE_00899,KOCEJNFM_00876,POEAOIBB_00715,GCKDAGAE_00581,PDIMPFPI_00866,AGBEICAE_00004,HCNBPFHJ_00502,BBFLPEJG_00940,AEMNHECO_00973,ICLGGANE_00954,PAGOGBDJ_00985,LAOJDNKF_00992
mtaD,mtaD,5-methylthioadenosine/S-adenosylhomocysteine deaminase,15,15,1.0,1,4126,,,,1284,1290,1289.2,OKNGDJCJ_00972,GFDNPGNJ_01586,BFBCFGIC_00920,AMGBDAFE_00900,KOCEJNFM_00877,POEAOIBB_00714,GCKDAGAE_00582,PDIMPFPI_00867,AGBEICAE_00005,HCNBPFHJ_00503,BBFLPEJG_00939,AEMNHECO_00972,ICLGGANE_00953,PAGOGBDJ_00986,LAOJDNKF_00993
lexA,lexA,LexA repressor,15,15,1.0,1,4125,,,,672,678,672.8,OKNGDJCJ_00960,GFDNPGNJ_01576,BFBCFGIC_00909,AMGBDAFE_00911,KOCEJNFM_00889,POEAOIBB_00699,GCKDAGAE_00594,PDIMPFPI_00877,AGBEICAE_00018,HCNBPFHJ_00514,BBFLPEJG_00928,AEMNHECO_00960,ICLGGANE_00943,PAGOGBDJ_00996,LAOJDNKF_01004
group_2542,tuf_1,Elongation factor Tu,15,15,1.0,1,4116,,,,1176,1188,1187.2,OKNGDJCJ_01548,GFDNPGNJ_00142,BFBCFGIC_01526,AMGBDAFE_01503,KOCEJNFM_00302,POEAOIBB_01521,GCKDAGAE_01183,PDIMPFPI_01526,AGBEICAE_00722,HCNBPFHJ_01120,BBFLPEJG_01567,AEMNHECO_01547,ICLGGANE_01571,PAGOGBDJ_01596,LAOJDNKF_01613
